"gridg0","group.id","month","timegroups"
"87959","G2641690",7,"before 2000"
"53493","S24629569",7,"before 2000"
"53493","S24609563",7,"before 2000"
"53493","S24630309",7,"before 2000"
"53493","S24629862",7,"before 2000"
"53493","S24607224",7,"before 2000"
"53493","S24630377",7,"before 2000"
"87959","S221210716",8,"before 2000"
"87959","G2657299",8,"before 2000"
"53493","S24630616",8,"before 2000"
"53493","S24630431",8,"before 2000"
"53493","S24630677",8,"before 2000"
"53493","S24631014",8,"before 2000"
"71038","S36191304",9,"before 2000"
"71038","G2380176",9,"before 2000"
"71038","G2380182",9,"before 2000"
"71038","G2380178",9,"before 2000"
"71038","S36141361",9,"before 2000"
"71038","G2380180",9,"before 2000"
"71038","G2380179",9,"before 2000"
"71038","S36166719",9,"before 2000"
"71038","S36166826",9,"before 2000"
"71038","S36191310",9,"before 2000"
"53493","S24647038",9,"before 2000"
